hour,value_mean,record_count,avg_values_count
0,0.7320677921263063,248223,3.913100822554297
1,0.590321303966596,197334,4.048372101286212
2,0.5070091523545671,160864,4.158440226406493
3,0.43867991203162426,145067,4.209055493843579
4,0.37988090975279415,150647,4.169491423701552
5,0.394225685736196,190232,4.0152801404077225
6,0.5242960723692164,283281,3.7484355850101485
7,1.5279208018326107,398429,3.5449706631529856
8,1.90437519041902,419587,3.624001213075948
9,2.1415940321104086,430615,3.6773969210667734
10,2.256046680903693,434475,3.7140304722781052
11,2.1787949453302455,432435,3.687430121754829
12,1.9089160671629437,423138,3.6255788598607195
13,1.8858464070922363,423843,3.6477795142498777
14,1.9061415757298281,423464,3.649670522968676
15,2.0622222749992485,423257,3.6606405295790405
16,2.2405716988012805,432675,3.6671964742313077
17,2.1833914584382694,433107,3.656104044391171
18,2.0441374393043614,424218,3.614059822982481
19,1.7810985770544163,418417,3.5574888747707605
20,1.6247485200753076,406248,3.5256143435353757
21,1.4581128902901919,383342,3.5414326500452713
22,1.1823395149429727,347822,3.598686948438612
23,0.995375837635668,314686,3.713437408523366
